# step L_total L_int L_bdry L_orth L_gradation
284 1.02726231e+01 1.01781387e+01 8.31765980e-02 1.13079315e-02 0.00000000e+00
285 9.91300964e+00 9.81209755e+00 8.86144340e-02 1.22977924e-02 0.00000000e+00
286 9.92126846e+00 9.82405090e+00 8.21592361e-02 1.50584849e-02 0.00000000e+00
287 1.01271324e+01 1.00217953e+01 9.02122855e-02 1.51253026e-02 0.00000000e+00
288 9.90888786e+00 9.80783081e+00 8.75765979e-02 1.34805832e-02 0.00000000e+00
289 9.91664410e+00 9.81641483e+00 8.88503417e-02 1.13793239e-02 0.00000000e+00
290 9.83776665e+00 9.73922729e+00 8.86976421e-02 9.84203909e-03 0.00000000e+00
291 1.01309147e+01 1.00208206e+01 1.01206377e-01 8.88755918e-03 0.00000000e+00
292 1.02300491e+01 1.01156664e+01 1.05333492e-01 9.04978067e-03 0.00000000e+00
293 9.91109657e+00 9.78656006e+00 1.14558898e-01 9.97718237e-03 0.00000000e+00
294 9.56574631e+00 9.44187450e+00 1.14240453e-01 9.63085797e-03 0.00000000e+00
