# step L_int L_bdry L_orth
446 9.13072750e-02 1.52089482e-03 3.81483100e-02
447 9.17872041e-02 1.46382570e-03 3.83061208e-02
448 9.12297145e-02 1.67319214e-03 3.77119035e-02
449 9.11755413e-02 1.54612679e-03 3.75890471e-02
450 9.01358873e-02 1.64638355e-03 3.80591005e-02
451 9.08437818e-02 1.55210553e-03 3.81654091e-02
452 9.15704221e-02 1.57751853e-03 3.75004411e-02
453 9.18217376e-02 1.48120127e-03 3.82795148e-02
454 9.09715444e-02 1.40333909e-03 3.90535444e-02
455 9.20894817e-02 1.54482538e-03 3.87000367e-02
456 9.00766626e-02 1.62337162e-03 3.83607224e-02
457 8.96809697e-02 1.55905960e-03 3.94435152e-02
458 9.10668373e-02 1.52683293e-03 3.89227830e-02
459 8.86394083e-02 1.41011749e-03 3.88001874e-02
460 8.86730328e-02 1.51596346e-03 3.89174595e-02
461 9.16728526e-02 1.47405546e-03 3.79351079e-02
462 8.92457813e-02 1.42041792e-03 3.88862193e-02
463 8.87546614e-02 1.45182968e-03 3.88505235e-02
464 9.14909467e-02 1.39707909e-03 3.84932570e-02
465 9.06150341e-02 1.44971022e-03 3.86954956e-02
466 9.11363065e-02 1.50738168e-03 3.81369591e-02
467 8.90867636e-02 1.50751963e-03 3.86039391e-02
468 8.93022045e-02 1.44878426e-03 3.85632664e-02
469 8.95848423e-02 1.50630123e-03 3.91773172e-02
470 8.94325823e-02 1.53331156e-03 3.89987864e-02
471 8.93689394e-02 1.53164030e-03 3.86001281e-02
472 8.83775577e-02 1.49408751e-03 3.86191681e-02
473 8.84876996e-02 1.45691715e-03 3.89423668e-02
474 8.85164738e-02 1.46867544e-03 3.93139683e-02
475 8.89008790e-02 1.52806251e-03 3.90112251e-02
476 8.88838917e-02 1.38475548e-03 3.87754850e-02
477 8.88377354e-02 1.41774211e-03 3.84615473e-02
478 9.00903419e-02 1.36771181e-03 3.86134535e-02
479 8.85128602e-02 1.36626675e-03 3.84950787e-02
